Author,Name,URL,LastUpdated
daemitus,BluDex,https://github.com/daemitus/BluDex,2021-04-13
kissorjeyabalan,dalamud-chatcoordinates,https://github.com/kissorjeyabalan/dalamud-chatcoordinates,2021-04-08
pohky,TeleporterPlugin,https://github.com/pohky/TeleporterPlugin,2021-04-08
Caraxi,FPSPlugin,https://github.com/Caraxi/FPSPlugin,2021-04-06
lmcintyre,ResLogger,https://github.com/lmcintyre/ResLogger,2021-04-05
AmenneHolelane,XIVComboPlugin (fork),https://github.com/AmenneHolelane/XIVComboPlugin,2021-04-04
yuyuisyuyu,AetherSense (fork),https://github.com/yuyuisyuyu/AetherSense,2021-03-28
LittleNightmare,RunWarriorOfLightRun,https://github.com/LittleNightmare/RunWarriorOfLightRun,2021-03-24
lclichen,BDTHPlugin (fork),https://github.com/lclichen/BDTHPlugin,2021-03-22
lclichen,Housemate (fork),https://github.com/lclichen/Housemate,2021-03-22
kalilistic,BetterProfanityFilter,https://github.com/kalilistic/BetterProfanityFilter,2021-03-21
kalilistic,LeetSpeak,https://github.com/kalilistic/LeetSpeak,2021-03-21
bugboyo,CameraPlugin,https://github.com/bugboyo/CameraPlugin,2021-03-17
Dormanil,FantasyPlayer (fork),https://github.com/Dormanil/FantasyPlayer,2021-03-07
maributt,DeepDungeonDex (fork),https://github.com/maributt/DeepDungeonDex,2021-03-06
austinglines42,PennyPincher (fork),https://github.com/austinglines42/PennyPincher,2021-02-24
SoonKeatNeo,BDTHPlugin (fork),https://github.com/SoonKeatNeo/BDTHPlugin,2021-02-24
0ceal0t,Dalamud-GaugeAura,https://github.com/0ceal0t/Dalamud-GaugeAura,2021-02-23
NicoOrz,DeepDungeonDex (fork),https://github.com/NicoOrz/DeepDungeonDex,2021-02-23
FairyScript,DeepDungeonDex (fork),https://github.com/FairyScript/DeepDungeonDex,2021-02-22
Xyghra,FPS-Limiter (fork),https://github.com/Xyghra/FPS-Limiter,2021-02-18
omnoid,bdth-unblocked,https://github.com/omnoid/bdth-unblocked,2021-02-18
attickdoor,MOActionPlugin,https://github.com/attickdoor/MOActionPlugin,2021-02-16
lmcintyre,SimpleTweaksPlugin (fork),https://github.com/lmcintyre/SimpleTweaksPlugin,2021-02-13
BiscuitUmU,FantasyPlayer,https://github.com/BiscuitUmU/FantasyPlayer,2021-01-29
Caraxi,AllowDebug,https://github.com/Caraxi/AllowDebug,2021-01-19
aers,FFXIVUIDebug,https://github.com/aers/FFXIVUIDebug,2021-01-15
ChalkPE,Syrcus,https://github.com/ChalkPE/Syrcus,2021-01-09
avafloww,CarbyScript,https://github.com/avafloww/CarbyScript,2021-01-06
daemitus,ClickIt,https://github.com/daemitus/ClickIt,2021-01-01
daemitus,CameraPlugin,https://github.com/daemitus/CameraPlugin,2020-12-31
BAKAOLC,EveryoneLalafell,https://github.com/BAKAOLC/EveryoneLalafell,2020-12-23
BAKAOLC,RemindMe (fork),https://github.com/BAKAOLC/RemindMe,2020-12-22
karashiiro,SideStream,https://github.com/karashiiro/SideStream,2020-12-17
luminisward,MPTimer,https://github.com/luminisward/MPTimer,2020-12-16
AinaSnow,BDTHPlugin (fork),https://github.com/AinaSnow/BDTHPlugin,2020-12-11
